yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
31/12/1993, 21:20:58.6,51.604,-3.602,3.7,1.8, PONTYCYMER,W GLAMORGAN,POINT (-782743.4750953543 5882780.184701316)
30/01/1994, 19:00:35.7,51.61,-3.601,6.1,0.6, PONTYCYMER,M GLAMORGAN,POINT (-782501.4891113741 5883420.454659602)
20/01/2000, 14:10:51.0,51.614,-3.625,11.4,1.8, MAESTEG,MID GLAMORGAN,POINT (-784024.9895703932 5884292.115868785)
16/06/2008, 01:10:14.2,51.598,-3.639,5.2,1.5, MAESTEG,BRIDGEND,POINT (-785445.297299209 5882789.509787243)
05/06/2009, 19:42:07.1,51.623,-3.645,3.6,2.9, MAESTEG,BRIDGEND,POINT (-785129.833229559 5885640.580081053)
17/01/2011, 14:28:11.2,51.595,-3.589,10.1,1.8, MAESTEG,BRIDGEND,POINT (-782115.5911965559 5881558.485016741)
19/04/2012, 07:41:31.7,51.62,-3.602,8.0,1.2, MAESTEG,BRIDGEND,POINT (-782280.3143541224 5884535.616993865)
01/01/2020, 17:28:35.5,51.603,-3.515,5.6,1.5, OGMORE VALE,BRIDGEND,POINT (-776827.9317527239 5881106.182418765)
05/01/2020, 16:57:55.7,51.597,-3.513,5.7,1.5, OGMORE VALE,BRIDGEND,POINT (-776864.0599095772 5880411.916398181)
06/01/2020, 02:35:08.7,51.602,-3.523,4.8,1.8, OGMORE VALE,BRIDGEND,POINT (-777403.4023955562 5881139.975039433)
25/10/1990, 14:28:06.5,51.571,-3.482,14.9,1.1, BRIDGEND,MID GLAMORGAN,POINT (-775492.71248595 5877003.142000733)
15/11/2011, 16:05:54.4,51.616,-3.581,9.3,1.5, MAESTEG,BRIDGEND,POINT (-780961.7571214298 5883718.525168863)
